
! https://hackmd.io/2IuIeln8RtWv2pNWCf2W5A 


! https://hackmd.io/2IuIeln8RtWv2pNWCf2W5A 

! Crepuscule tente de représenter les conflits d'intérêts
! mis en évidence par l'écrit "Crépuscule" de Juan Branco.
! Enlever le “!” avant le & pour les afficher dans le graphe
! @ Structures
! @ Evénements 
! _ Relations
! _ Paramètres de relations réifiées
! @ Personnes


! https://calc.padagraph.io/crepuscule-medias 

"!,",,,,,,,,,,,,
LVMH,Arnault_B,Arnault_D,Squarcini,,,,https://byo-group.com/wp-content/uploads/2016/11/lvmh.jpg,,,LVMH,44,
Rothschild,,,,,,,,,,Rothschild,,
SFR,Drahi,,,,,Altice,,,,,,https://fr.wikipedia.org/wiki/SFR
Tag_Heuer,,,Arnault_F,,,LVMH,,,,"Tag Heuer",,https://fr.wikipedia.org/wiki/TAG_Heuer
Vivendi,Bolloré_Y,,,Groupe_Bolloré,,,,,,Vivendi,,https://fr.wikipedia.org/wiki/Vivendi
Artemis,Pinault,,,,,,,,,Artemis,,
Mediawan,,,,,"Niel, Pigasse",,,,,Mediawan,,https://fr.wikipedia.org/wiki/Mediawan
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,


! https://calc.padagraph.io/crepuscule-organisations 

"!,",,,,
"@PartiAsso: #id",image,shape[square],size[0.5],label
UMP,https://upload.wikimedia.org/wikipedia/fr/thumb/9/90/Logo_de_l%27UMP.svg/1200px-Logo_de_l%27UMP.svg.png,,,UMP
LREM,https://upload.wikimedia.org/wikipedia/commons/3/34/En_marche_logo.png,,,"En Marche"
Teach_for_France,http://www.sciencespo.fr/public/sites/sciencespo.fr.public/files/TFF_1.jpg,,,Teach
Institut_Montaigne,http://www.entreprise.news/wp-content/uploads/2016/04/Institut-Montaigne.jpg,,,Montaigne
Fondation_Jean-Jaurès,https://jean-jaures.org/sites/all/themes/fjj/img/logo_long.png,,,"Jean Jaurès"
Terra_Nova,https://upload.wikimedia.org/wikipedia/fr/4/4e/Terra_Nova_logo.png,,,"Terra Nova"
PS,,,,"Parti Socialiste"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,


! https://calc.padagraph.io/crepuscule-universites 

"!,",,,,,
"@Ecole: #id",image,+direction,size[0.5],label,shape[square]
HEC,,,,HEC,
Science_Po,https://www.sciencespo.fr/sites/all/themes/SPresponsive/images/ScPo-logo-rouge-400.png,,,"Science Po",
ENA,,,,ENA,
ESSEC,,Blanquer(2013-2017),,ESSEC,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,


! https://calc.padagraph.io/crepuscule-fonction-publique 

"!,",,,,
"@Fonction_Publique: #id",image,shape[square],size[0.5],label


! https://calc.padagraph.io/crepuscule-evenements 

"!,",,,,,,,
@Evenements:#label,Lieu,Date,"%+Personnes impliquées",Pages,"Commentaire libre",shape[diamond],size[0.5]
Inauguration_LV,Ritz,,"Arnault_B, Arnault_D, Niel",25,"directeurs de rédaction",,0.5
Diner_d'état,,,"Trump, Arnault_B, Macron",34,,,


! https://calc.padagraph.io/crepuscule-judiciaire 

"!,",,,,,,,,,,
"@Affaire: #label",%+Principaux_accusés,%+Acteurs_secondaires,%+Juges,%+Avocats,+Années,+Résultat,+Pages,+Sources,shape[diamond],size[0.5]


! https://calc.padagraph.io/crepuscule-business 

"!,",,,,,,,,,,,,
"@Business: #label",%+Acteurs_principaux,%+Acteurs_secondaires,+Nature,+Années,Montant,+Pages,+Sources,shape[diamond],size[0.5],Nom,extraits,video
"Gestion de fortune","Macron, Lagardère_A, Rothschild",,"Gestion de fortune",,,6,,triangle,0.5,Macron-Lagardère,,
Rachat_Libé_SFR,"Hollande, Drahi",,,,,34,"	M.	Drahi	avait	racheté	Libération	sur	demande	de	M.	Hollande	– demande	relayée	par	M.	Macron	– pour	se	voir	autoriser	au	rachat	de	SFR,	avant	de	nommer	son	ami	et	plume	Laurent	Joffrin	à	la	tête	de	sa	rédaction.	 Cela,	ce	n’est	pas	nous	qui	le	racontons.	C’est	l’homme	de	main	 de	M.	Drahi,	Bernard	Mourad,	intime	de	M.	Macron,	dans	le	Vanity	Fair de	décembre	2018,	qui	expose	sans	se	gêner	les	modalités	 de	 constitution	 d’une	 oligarchie,	 un	milliardaire	 trouvant	appui	en	un	Président	contre	le	fait	de	mettre	à	son	service	 un	média	racheté	pour	cela.		Le	tout,	sans	gêne	ni	questions8.	 Sans	indignation. _Crépuscule_",,,,,
"Rachat Boussac","Arnault_B, Fabius",,,1984,,38,,,,,,
"Rachat parts Pigasse","Kretinsky, Pigasse",Le_Monde,"rachat de parts de Pigasse du Monde, et publication enquête dans Le Monde",,,41,,,,,,
"Monsieur sécurité","LVMH, Kyrnos_Conseil",,"LVMH 1er client de Kyrnos",,,,https://web.archive.org/web/20150323225316/https://www.societe.com/societe/kyrnos-conseil-791518327.html,,,,,
Habillage,"Trogneux-Macron, LVMH",,"Prêt de vêtements",,,44,"Pour les évènements officiels, Brigitte Macron se fait prêter ses tenues par le groupe LVMH. Son entourage assure que les vêtements sont systématiquement rendus. (closer 23 03 17)   https://www.closermag.fr/mode/polemique-brigitte-macron-s-habille-gratuitement-chez-lvmh-710742",,,,,
"Comm ministre économie","Macron, Havas",,,,,49,,,,,,
M6_Mediawan,"Groupe_M6, Mediawan",,partenariat,,,51,,,,,,


! https://calc.padagraph.io/crepuscule-relations 

"!,",,,,,Importance,,,,,,"Propriétés des  relations dans le graphe",,
_Relation,,,"label[en relation avec]",+via,weight[1],width[1],+Année,+pages,extraits,+sources,color[grey],width[1],line[plain]
Macron,->,Delahousse,"a soutenu",France2,0.2,,,19,,,,,
Niel,--,Mimi,,Toby,1,,,"9, 10",,,,,
Hidalgo,--,Missika,,Niel,1,,,"13, 14",,,,,
Khiroun,->,Macron,"mis à disposition de",Lagardère_A,1,,,16,"Mis à disposition pour sa communication",,,,
Valls,--,Dassault_O,,Dassault_S,1,,,41,"dont on sait quels accords il tissa avec un autre homme politique, M. Valls",,,,
Macron,--,Kyrnos_Conseil,,Arnault_B,1,,,44,"Bernard  Arnault donc, a mis au service du Macron candidat son appareil de sécurité -> pas si clair",,,,
Macron,--,Mimi,,Niel,1,,,44,"pour compléter la protection que lui offrait médiatiquement, via son gendre Xavier Niel, Michèle Marchand.",,,,
Macron,--,Neil,,Arnault_B,1,,,44,"via Arnault_D",,,,
Trogneux-Macron,->,Arnault_B,"prof de",Arnault_F,1,,,44,"Trogneux-Macron prof de Arnault_F",,,,
